{'loss': 2.3253, 'grad_norm': 0.21877968311309814, 'learning_rate': 1.41643059490085e-06, 'mean_token_accuracy': 0.5390011395531479, 'epoch': 0.0}
{'loss': 2.6265, 'grad_norm': 0.29748573899269104, 'learning_rate': 2.8328611898017e-06, 'mean_token_accuracy': 0.4951770897338717, 'epoch': 0.01}
{'loss': 2.7207, 'grad_norm': 0.3074142634868622, 'learning_rate': 4.24929178470255e-06, 'mean_token_accuracy': 0.48766663719827497, 'epoch': 0.01}
{'loss': 2.7705, 'grad_norm': 0.30136406421661377, 'learning_rate': 5.6657223796034e-06, 'mean_token_accuracy': 0.4735375000173455, 'epoch': 0.01}
{'loss': 2.7582, 'grad_norm': 0.3784777820110321, 'learning_rate': 7.08215297450425e-06, 'mean_token_accuracy': 0.48127043816087733, 'epoch': 0.02}
{'loss': 2.4223, 'grad_norm': 0.36731061339378357, 'learning_rate': 8.4985835694051e-06, 'mean_token_accuracy': 0.5255148015822084, 'epoch': 0.02}
{'loss': 2.7172, 'grad_norm': 0.4612453281879425, 'learning_rate': 9.91501416430595e-06, 'mean_token_accuracy': 0.4839138704585758, 'epoch': 0.02}
{'loss': 2.7222, 'grad_norm': 0.504919171333313, 'learning_rate': 1.13314447592068e-05, 'mean_token_accuracy': 0.4855636259113198, 'epoch': 0.03}
{'loss': 2.7296, 'grad_norm': 0.48540422320365906, 'learning_rate': 1.274787535410765e-05, 'mean_token_accuracy': 0.48099127300806394, 'epoch': 0.03}
{'loss': 2.6797, 'grad_norm': 0.6632640957832336, 'learning_rate': 1.41643059490085e-05, 'mean_token_accuracy': 0.4891255127424993, 'epoch': 0.03}
{'loss': 2.3219, 'grad_norm': 0.7415342926979065, 'learning_rate': 1.558073654390935e-05, 'mean_token_accuracy': 0.5366847203675368, 'epoch': 0.04}
{'loss': 2.701, 'grad_norm': 0.7143403887748718, 'learning_rate': 1.69971671388102e-05, 'mean_token_accuracy': 0.4755489493932231, 'epoch': 0.04}
{'loss': 2.7003, 'grad_norm': 0.9352790713310242, 'learning_rate': 1.841359773371105e-05, 'mean_token_accuracy': 0.4735750489471323, 'epoch': 0.04}
{'loss': 2.6027, 'grad_norm': 0.8262293934822083, 'learning_rate': 1.98300283286119e-05, 'mean_token_accuracy': 0.48456410239645226, 'epoch': 0.05}
{'loss': 2.6292, 'grad_norm': 0.8206871151924133, 'learning_rate': 2.124645892351275e-05, 'mean_token_accuracy': 0.47816437935773504, 'epoch': 0.05}
{'loss': 2.2963, 'grad_norm': 0.7346518635749817, 'learning_rate': 2.26628895184136e-05, 'mean_token_accuracy': 0.523002621072412, 'epoch': 0.05}
{'loss': 2.5469, 'grad_norm': 0.6765776872634888, 'learning_rate': 2.4079320113314448e-05, 'mean_token_accuracy': 0.48020621536293745, 'epoch': 0.06}
{'loss': 2.4471, 'grad_norm': 0.5775386095046997, 'learning_rate': 2.54957507082153e-05, 'mean_token_accuracy': 0.4915951834273954, 'epoch': 0.06}
{'loss': 2.3981, 'grad_norm': 0.5015783905982971, 'learning_rate': 2.6912181303116145e-05, 'mean_token_accuracy': 0.49701249326820146, 'epoch': 0.06}
{'loss': 2.3705, 'grad_norm': 0.6436609029769897, 'learning_rate': 2.8328611898017e-05, 'mean_token_accuracy': 0.5010722274367448, 'epoch': 0.07}
{'loss': 2.0513, 'grad_norm': 0.4053420424461365, 'learning_rate': 2.9745042492917846e-05, 'mean_token_accuracy': 0.5542570371679393, 'epoch': 0.07}
{'loss': 2.3006, 'grad_norm': 0.3823125958442688, 'learning_rate': 3.11614730878187e-05, 'mean_token_accuracy': 0.5098032006737175, 'epoch': 0.07}
{'loss': 2.3897, 'grad_norm': 0.4569381773471832, 'learning_rate': 3.257790368271955e-05, 'mean_token_accuracy': 0.4977628902524237, 'epoch': 0.08}
{'loss': 2.3985, 'grad_norm': 0.4965275526046753, 'learning_rate': 3.39943342776204e-05, 'mean_token_accuracy': 0.4954360040375043, 'epoch': 0.08}
{'loss': 2.1034, 'grad_norm': 0.5824794769287109, 'learning_rate': 3.5410764872521244e-05, 'mean_token_accuracy': 0.540050519765159, 'epoch': 0.08}
